종목코드,종목명,마지막행_날짜,마지막행_상태,직전30일_정지행수,상장폐지일,분류
418210,신한제10호스팩,2025-04-03,normal,1,2025-04-04,정상거래에서 급정지 → 상폐
168490,한국패러랠,2025-03-31,susp,2,2025-04-01,정지행으로 종료 → 상폐
214870,뉴지랩파마,2025-03-28,normal,14,2025-03-31,정상거래에서 급정지 → 상폐
038340,MIT,2025-03-27,normal,14,2025-03-28,정상거래에서 급정지 → 상폐
458320,KB제26호스팩,2025-03-27,susp,15,2025-03-28,정지행으로 종료 → 상폐
430700,유안타제9호스팩,2025-03-14,normal,1,2025-03-17,정상거래에서 급정지 → 상폐
268600,셀리버리,2025-03-06,normal,14,2025-03-07,정상거래에서 급정지 → 상폐
433530,키움제7호스팩,2025-03-06,susp,14,2025-03-07,정지행으로 종료 → 상폐
413600,키움제6호스팩,2025-02-27,susp,16,2025-02-28,정지행으로 종료 → 상폐
446600,?,2025-02-24,normal,11,2025-02-25,정상거래에서 급정지 → 상폐
034300,신세계건설,2025-02-21,susp,16,2025-02-24,정지행으로 종료 → 상폐
376190,LB루셈,2025-02-20,susp,16,2025-02-21,정지행으로 종료 → 상폐
078940,퀀타피아,2025-02-18,normal,11,2025-02-19,정상거래에서 급정지 → 상폐
160600,이큐셀,2025-02-13,normal,11,2025-02-14,정상거래에서 급정지 → 상폐
299910,애닉,2025-02-13,normal,11,2025-02-14,정상거래에서 급정지 → 상폐
425290,삼성스팩6호,2025-02-10,normal,1,2025-02-11,정상거래에서 급정지 → 상폐
422040,엔에이치스팩23호,2025-02-07,normal,1,2025-02-10,정상거래에서 급정지 → 상폐
424140,케이비제21호스팩,2025-02-03,normal,1,2025-02-04,정상거래에서 급정지 → 상폐
412930,미래에셋비전스팩1호,2025-01-20,susp,14,2025-01-21,정지행으로 종료 → 상폐
900280,골든센츄리,2025-01-07,normal,12,2025-01-08,정상거래에서 급정지 → 상폐
406760,하나금융21호스팩,2024-12-24,susp,13,2024-12-26,정지행으로 종료 → 상폐
214310,에스엘에너지,2024-12-20,normal,15,2024-12-23,정상거래에서 급정지 → 상폐
080000,에스엔유,2024-12-19,susp,16,2024-12-20,정지행으로 종료 → 상폐
418170,하나금융22호스팩,2024-12-18,susp,13,2024-12-19,정지행으로 종료 → 상폐
430460,한화플러스제3호스팩,2024-12-12,susp,15,2024-12-13,정지행으로 종료 → 상폐
419700,?,2024-12-11,normal,15,2024-12-12,정상거래에서 급정지 → 상폐
115390,락앤락,2024-12-06,susp,13,2024-12-09,정지행으로 종료 → 상폐
415580,상상인제3호스팩,2024-12-03,normal,1,2024-12-04,정상거래에서 급정지 → 상폐
138580,비즈니스온,2024-11-21,susp,12,2024-11-22,정지행으로 종료 → 상폐
438220,대신밸런스제13호스팩,2024-11-19,susp,16,2024-11-20,정지행으로 종료 → 상폐
421800,교보12호스팩,2024-11-18,susp,17,2024-11-19,정지행으로 종료 → 상폐
062860,티엘아이,2024-11-13,normal,15,2024-11-14,정상거래에서 급정지 → 상폐
287410,제이시스메디칼,2024-11-06,susp,13,2024-11-07,정지행으로 종료 → 상폐
263540,어스앤에어로스페이스,2024-11-05,normal,14,2024-11-06,정상거래에서 급정지 → 상폐
164060,이루다,2024-10-21,susp,14,2024-10-22,정지행으로 종료 → 상폐
282690,동아타이어,2024-10-07,susp,16,2024-10-08,정지행으로 종료 → 상폐
053590,한국테크놀로지,2024-10-04,normal,10,2024-10-07,정상거래에서 급정지 → 상폐
286000,?,2024-10-04,normal,10,2024-10-07,정상거래에서 급정지 → 상폐
436610,한국제11호스팩,2024-09-26,susp,17,2024-09-27,정지행으로 종료 → 상폐
119860,커넥트웨이브,2024-09-23,susp,11,2024-09-24,정지행으로 종료 → 상폐
089530,에이티세미콘,2024-09-05,normal,14,2024-09-06,정상거래에서 급정지 → 상폐
430230,하나금융24호스팩,2024-09-02,susp,15,2024-09-03,정지행으로 종료 → 상폐
258250,?,2024-08-29,normal,14,2024-08-30,정상거래에서 급정지 → 상폐
299670,?,2024-08-14,normal,15,2024-08-16,정상거래에서 급정지 → 상폐
065560,녹원씨엔아이,2024-07-26,normal,15,2024-07-29,정상거래에서 급정지 → 상폐
400840,하이제7호스팩,2024-07-25,normal,1,2024-07-26,정상거래에서 급정지 → 상폐
136510,스마트솔루션즈,2024-07-24,normal,15,2024-07-25,정상거래에서 급정지 → 상폐
181340,이즈미디어,2024-07-09,normal,15,2024-07-10,정상거래에서 급정지 → 상폐
003410,쌍용C&E,2024-07-08,susp,12,2024-07-09,정지행으로 종료 → 상폐
388800,유진스팩7호,2024-07-01,normal,1,2024-07-02,정상거래에서 급정지 → 상폐
058530,파나케이아,2024-06-24,susp,20,2024-06-25,정지행으로 종료 → 상폐
006580,대양제지,2024-06-20,normal,14,2024-06-21,정상거래에서 급정지 → 상폐
163430,?,2024-06-17,normal,13,2024-06-18,정상거래에서 급정지 → 상폐
161570,THE MIDONG,2024-06-14,normal,14,2024-06-17,정상거래에서 급정지 → 상폐
386580,한화플러스제2호스팩,2024-06-14,normal,1,2024-06-17,정상거래에서 급정지 → 상폐
405640,신한제9호스팩,2024-06-10,susp,12,2024-06-11,정지행으로 종료 → 상폐
148140,비디아이,2024-06-05,normal,14,2024-06-07,정상거래에서 급정지 → 상폐
391060,엔에이치스팩20호,2024-05-13,normal,1,2024-05-14,정상거래에서 급정지 → 상폐
030790,비케이탑스,2024-05-10,normal,13,2024-05-13,정상거래에서 급정지 → 상폐
058220,아리온,2024-05-02,susp,20,2024-05-03,정지행으로 종료 → 상폐
436530,케이비제22호스팩,2024-05-02,susp,12,2024-05-03,정지행으로 종료 → 상폐
393360,신한제8호스팩,2024-04-29,normal,1,2024-04-30,정상거래에서 급정지 → 상폐
001725,신영증권우,2024-04-25,susp,15,2024-04-26,정지행으로 종료 → 상폐
322190,?,2024-04-24,normal,14,2024-04-25,정상거래에서 급정지 → 상폐
419270,신영스팩7호,2024-04-24,susp,13,2024-04-25,정지행으로 종료 → 상폐
248020,?,2024-04-04,normal,15,2024-04-05,정상거래에서 급정지 → 상폐
224020,?,2024-03-28,susp,17,2024-03-29,정지행으로 종료 → 상폐
397880,교보11호스팩,2024-03-22,susp,15,2024-03-25,정지행으로 종료 → 상폐
